image,Born,Person,description,occupation,position held,country of citizenship,given name
,1986-05-07,Robbie Jarvis,English actor,stage actor film actor television actor,,United Kingdom,Robert Stephen
,1986-05-07,Lucie Pelantová,Olympic race walker,athletics competitor,,Czech Republic,Lucie
,1986-05-07,Kamarul Afiq Kamaruddin,Footballer,association football player,,Malaysia,
,1986-05-07,Jodie Esquibel,American mixed martial artist,mixed martial artist boxer,,United States of America,Jodie
,1986-05-07,Lim Hyung-joo,South Korean opera singer,singer opera singer,,South Korea,Hyung-joo
,1986-05-07,Lyndel Richardson,cricketer,cricketer,,,
,1986-05-07,Frances Quinlan,American singer,singer,,United States of America,Christine Frances
,1986-05-07,Zlatko Janjić,Bosnian footballer,association football player,,Germany,Zlatko
,1986-05-07,Adeleke Oyede,Nigerian cricketer,cricketer,,Nigeria,
,1986-05-07,Philipp Schmid,German customs officer and alpine skier,customs officer alpine skier,,Germany,Philipp
,1986-05-07,Rinat Ibragimov,Kazakhstani judoka,judoka,,Kazakhstan,Rinat
,1986-05-07,Kyle Sonnenburg,Canadian ice hockey player,ice hockey player,,Canada,Kyle
,1986-05-07,Dasari Swaroop Kumar,Indian cricketer,cricketer,,India,
,1986-05-07,Shah Hirul,association football player,association football player,,,
,1986-05-07,Abdelkader Bouhenia,French boxer,boxer,,France,Abdelkader
,1986-05-07,Matee Ajavon,American basketball player,basketball player,,United States of America Liberia,
,1986-05-07,Yusuke Sudo,Japanese association football player,association football player,,Japan,Yūsuke
,1986-05-07,Roberto Delgado,Footballer,association football player,,Spain,Roberto
,1986-05-07,Davide Gavazzi,Italian footballer,association football player,,Italy,Davide
,1986-05-07,Tony Gugino,American basketball player,basketball player,,United States of America,Tony
,1986-05-07,Sergey Kuznetsov,Russian footballer,association football player,,Russia,Sergey
,1986-05-07,Matt Helders,English musician and DJ,musician drummer,,United Kingdom,Matthew
,1986-05-07,Adam West,American soccer player,association football player,,United States of America,Adam
,1986-05-07,Amy Kwolek,English actress,actor film actor,,United Kingdom,Amy
,1986-05-07,Ana Bebić,Croatian pop singer,singer,,Croatia,Ana
,1986-05-07,Armond Smith,American football player,American football player,,United States of America,Armond
,1986-05-07,Justin James,"Indian composer, singer and guitarist in Malayalam",singer composer guitarist music director,,India,Justin
,1986-05-07,Byun Woong,South Korean footballer,association football player,,South Korea,Woong
,1986-05-07,Pai Hsiao-Ma,badminton player,badminton player,,Taiwan,
,1986-05-07,Craig Steltz,"All-American college football player, professional football player, defensive back, safety",American football player,,United States of America,Craig
,1986-05-07,Hakan Demirel,Turkish basketball player,basketball player,,Turkey,Hakan
,1986-07-05 1986-05-07,Edwin Móvil,Colombian footballer,association football player,,Colombia,Edwin
,1986-05-07,Mark Furze,Australian actor,actor television actor,,Australia,Mark
,1986-05-07,Anton Khudobin,Russian ice hockey player,ice hockey player,,Russia Kazakhstan,Антон
,1986-05-07,Evgeny Voronov,Russian basketball player,basketball player,,Russia,Yevgeny
,1986-05-07,James Holder,Australian speedway rider,speedway rider,,Australia,James
,1986-05-07,Jamie Day,English footballer,association football player,,United Kingdom,Jamie
,1986-05-07,Kwaku Bediako,Ghanaian fashion designer,fashion designer,,Ghana,
,1986-05-07,Nate Prosser,American ice hockey player,ice hockey player,,United States of America,Nate
,1986-05-07,Arno van der Zwet,cyclist,sport cyclist track cyclist,,Kingdom of the Netherlands,Arno
,1986-05-07,William Diering,Olympic swimmer,swimmer,,South Africa,William
,1986-05-07,William Rocha Alves,Brazilian association football player,association football player,,Brazil,William
,1985-05-07,Mohammad Fariduddin,Bangladeshi cricketer,cricketer,,Bangladesh,Mohammad
,1985-05-07,Scheana Marie,American actress,actor model,,United States of America,Scheana
,1985-05-07,Binta Diakité,Ivorian footballer,association football player,,Ivory Coast,Binta
,1992-07-30 1985-05-07,Scott Sabourin,Canadian ice hockey player,ice hockey player,,Canada,Scott
,1985-05-07,Jeff Bright,Australian soccer player,association football player,,Australia,Jeff
,1985-05-07,Aya Nakano,Japanese singer,singer-songwriter,,Japan,Aya
,1985-05-07,Stanley Bryant,American football player,American football player Canadian football player,,United States of America,Stanley
,1985-05-07,Marius Sadoveac,Romanian handball player,handball player,,Romania,Marius
,1985-05-07,Boy Boy Martin,kickboxer,kickboxer,,Kingdom of the Netherlands,
,1985-05-07,Dime Spasov,Minister of Labor and Social Policy of the Republic of Macedonia,diplomat politician,diplomat,,
,1985-05-07,Erika Januza,Brazilian television actor and model (*1985) ♀,television actor model,,Brazil,Érika
,1985-05-07,Kate A. Murphy,Canadian businessperson (*1985) ♀,businessperson,,Canada,Kate
,1985-05-07,Vladimír Sobotka,volleyball player,volleyball player,,,
,1985-05-07,Paz Echeverria,Chilean golfer (1985-),golfer,,Chile,
,1985-05-07,Martin Dupkala,association football player,association football player,,,Martin
,1985-05-07,Walt Williams,Grenadian male shot putter,shot putter discus thrower,,Grenada,Walt
,1985-05-07,Jakob Andkjær,swimmer,swimmer,,Denmark,Jakob
,1985-05-07,Simone Facey,Jamaican sprinter,sprinter,,Jamaica,Simone
,1985-05-07,Tonje Nøstvold,Norwegian handball player,handball player,,Norway,Tonje
,1985-05-07,Claire Allan,English rugby union player,rugby union player,,United Kingdom,Claire
,1985-05-07,Ronan Carolino Falcão,Brazilian association football player,association football player,,Brazil,Ronan
,1985-05-07,Mikhail Ignatiev,Russian cyclist,sport cyclist track cyclist,,Russia,Mikhail
,1985-05-07,Ruslan Myrsatayev,Kazakhstani boxer,boxer,,Kazakhstan,Ruslan
,1985-05-07,Espen Næss Lund,Norwegian association football player,association football player,,Norway,Espen
,1985-05-07,Stefano Tremigliozzi,Italian long jumper,athletics competitor,,Italy,Stefano
,1985-05-07,Marco Hämmerli,Swiss footballer,association football player,,Switzerland,Marco
,1985-05-07,Andrew Woodruff,Canadian football player,Canadian football player,,Canada,Andrew
,1985-05-07,Blagojče Božinovski,Macedonian footballer,association football player association football manager,,North Macedonia,
,1985-05-07,Chris O'Connor,Australian soccer player,association football player,,Australia,Chris
,1985-05-07,Drew Neitzel,American basketball player,basketball player,,United States of America,Drew
,1985-05-07,Corey Lynch,Player of American football,American football player,,United States of America,Corey
,1985-05-07,Dale Tonge,Footballer,association football player,,United Kingdom,Dale
,1985-05-07,Dan Sweetman,Australian television personality,,,Australia,Dan
,1985-05-07,Mohamed Fofana,French association football player,association football player,,France Mali,Mohamed
,1985-05-07,Danny O'Quinn,American racing driver,racing driver,,United States of America,Danny
,1985-05-07,John McCombe,English association football player,association football player,,United Kingdom,John
,1985-05-07,Sergio Souza,Uruguayan footballer,association football player,,Uruguay,Sergio
,1985-05-07,Jarrad Hickey,Australian rugby league footballer,rugby league player,,Australia,
,1985-05-07,Kaliova Nauqe Tani,Fijian rugby league footballer,rugby league player,,Australia,
,1985-05-07,Kara Mowbray,Association footballer,association football player,,Australia,Kara
,1985-05-07 1985-05-08,Kingshuk Debnath,Indian footballer,association football player,,India,
,1985-05-07,Kristania Virginia Besouw,Beauty pageant winner,beauty pageant contestant,,Indonesia,
,1985-05-07,Matías Alasia,Footballer,association football player,,Argentina,Matías
,1985-05-07,Mehdi Hamama,Olympic swimmer,swimmer,,Algeria,Mehdi
,1985-05-07,Melissa Tang,actress,actor television actor film actor,,United States of America,Melissa
,1985-05-07,Nicole Graf,figure skater,figure skater,,Switzerland,Nicole
,1985-05-07,Rafael Godoi Pereira,Footballer,association football player,,Brazil,Rafael
,1985-05-07,Samuel Castelán Marini,Mexican singer,singer,,Mexico,Samuel
,1985-05-07,Milan Purović,Montenegrin footballer,association football player,,Montenegro,Milan
,1985-05-07,Stefon Jackson,American basketball player,basketball player,,United States of America,
,1981-05-07 1985-05-07,Vega Tamotia,Indian actress,actor model,,India,Vega
,1985-05-07,Łukasz Matusiak,Polish footballer,association football player,,Poland,Łukasz
,1985-05-07,Bartłomiej Niedziela,Polish footballer,association football player,,Poland,Bartłomiej
,1985-05-07,Liam Tancock,"British swimmer, Olympic athlete, world champion, former world record-holder",swimmer,,United Kingdom,Liam John
,1985-05-07 1985-04-04,Herminio Miranda,Paraguayan footballer,association football player,,Paraguay,Herminio
,1985-05-07,Laurențiu Rus,Romanian footballer,association football player,,Romania,Laurențiu
,1985-05-07,J Balvin,Colombian reggaeton singer,singer,,Colombia,José
,1985-05-07,Eero Kilpeläinen,Finnish ice hockey player,ice hockey player,,Finland,Eero
,1984-05-07,Natsuki Taiyo,Japanese professional wrestler,actor professional wrestler,,Japan,
,1984-05-07,Drew Stanton,American football player,American football player,,United States of America,Drew
,1984-05-07,Mohapi Ntobo,Mosotho footballer,association football player,,Lesotho,
,1984-05-07,Alceu Rodrigues Simoni Filho,Brazilian association football player,association football player,,Brazil,
,1984-05-07,Mark O'Brien,Canadian actor and director,stage actor film actor television director film producer screenwriter film director television actor,,Canada,Mark
,1984-07-05 1984-05-07,Ibrahim Abdullah Al-Waleed,Qatari sprinter,athletics competitor,,Qatar,
,1984-05-07,Bahador Kharazmi,Iranian musician,songwriter,,,
,1984-05-07,Dane Boswell,New Zealand rower,rower,,New Zealand,Dane
,1984-05-07,Chris Nurse,English footballer,association football player,,Guyana United Kingdom,Chris
,1984-05-07,Hélder Cabral,Portuguese footballer,association football player,,Portugal,Hélder
,1984-05-07,Mai,Japanese singer,singer tarento,,Japan,
,1984-05-07,Kate Dennison,British pole vaulter,athletics competitor,,United Kingdom,Kate
,1984-05-07,Donnie McGrath,basketball player,basketball player,,United States of America Ireland,Donnie
,1984-05-07,Fran Moreno,Spanish footballer,association football player,,Spain,Francisco
,1984-05-07,Valeska Saab,"Ecuadorian beauty queen, politician and charity worker",model beauty pageant contestant,,Ecuador,Valeska
,1984-05-07,Marc Burch,American soccer player,association football player,,United States of America,Marc
,1984-05-07,Meiliana Jauhari,Indonesian badminton player,badminton player,,Indonesia,
,1984-05-07,Adrian Zaw,American actor,actor stage actor television actor voice actor,,United States of America,Adrian
,1984-05-07,Matthew Shaw,association football player,association football player,,,Matthew
,1984-05-07,Corey Payne,Australian rugby league footballer and administrator,rugby league player,,Australia,Corey
,1984-05-07,Darwin Ronolbin Sanchez,Salvadoran footballer,association football player,,El Salvador,Darwin
,1984-05-07,Davide Favaro,Italian former footballer,association football player,,Italy,Davide
,1984-05-07,Diego Ordaz,Mexican footballer,association football player,,Mexico,Diego
,1984-05-07,Euda Carías,Guatemalan taekwondo practitioner,taekwondo athlete,,Guatemala,
,1984-05-07,Gideon V. Way,Indonesian footballer,association football player,,Indonesia,
,1984-05-07 1984-07-05,Ria Vandervis,New Zealand actress,actor,,New Zealand,Ria
,1984-05-07,Kevin Owens,Canadian professional wrestler,professional wrestler,,Canada,Kevin
,1984-05-07,James Loney,American baseball player,baseball player,,United States of America,James Anthony
,1984-05-07,Kim Min-koo,South Korean footballer,association football player,,South Korea,
,1984-05-07,Lisa Diveney,actress,actor,,United Kingdom Wales,Lisa
,1984-05-07,Aída Camaño,Uruguayan association football player,association football player,,Uruguay,
,1984-05-07,Maria Kochetkova,Russian ballet dancer,ballet dancer,,Soviet Union Russia United States of America,Mariya
,1984-05-07,Marvelyn Brown,American writer and ctivist,autobiographer,,United States of America,
,1984-05-07,May7ven,singer,songwriter singer,,Nigeria,
,1984-05-07,Kim Smith,Canadian women's basketball player,basketball player,,United States of America Canada,Kimberley
,1984-05-07,Alex Smith,American football quarterback,American football player,,United States of America,Alex
,1984-05-07,Laurel Collins,Canadian politician,,,,
,1984-05-07,Shavkat Raimqulov,Uzbekistani footballer,association football player,,Uzbekistan,
,1984-05-07,Vandolph,Filipino actor and comedian,actor comedian,,Philippines,
,1984-05-07,Geraint Frowen,Welsh football player,association football player,,,
,1983-05-07,Ion Al-Ioani,Footballer,association football player futsal player,,Romania,Ion
,1983-05-07,Kim Jung-hee,South Korean field hockey player,field hockey player,,South Korea,Jung-hee
,1983-05-07 1983-05-06,Tanga Loa,American professional wrestler,professional wrestler,,United States of America,
,1983-05-07,Daniele Buzzegoli,Italian footballer,association football player,,Italy,Daniele
,1983-05-07,Arbana Osmani,Albanian television presenter,television presenter,,Albania,
,1983-05-07,Indrani Dasgupta,Indian model and television presenter,television presenter model,,,
,1983-05-07,Vitaly Medvedev,Ukrainian fencer,fencer,,Ukraine,Vitaliy
,1983-05-07,Milo Moiré,Swiss conceptual artist,painter performance artist model,,Switzerland,Milo
,1983-05-07,Anette Askvik,"Norwegian singer, musician and composer",singer musician composer songwriter pianist,,Norway,Anette
,1983-05-07,Justin Simien,American film director,film director screenwriter actor,,United States of America,Justin
,1983-05-07,Sophie Muir,Australian speed skater,speed skater,,Australia,Sophie
,1983-05-07,Miguel Godoy,association football player,association football player,,Paraguay,Miguel
,1983-05-07,Konstantine Gegelashvili,Georgian water polo player,water polo player,,Georgia,
,1983-05-07,Alexander Legkov,Russian cross-country skier,cross-country skier,,Russia,Aleksandr
,1983-05-07,Makano,Panamanian singer,singer,,Panama,
,1983-05-07,Eduard Arbós,field hockey player,field hockey player,,Spain,Eduard
,1983-05-07,Marco Galiazzo,archer,archer,,Italy,Marco
,1983-05-07,Jorge Martín Montenegro,Argentinian bicycle racer,sport cyclist,,Argentina Spain,Jorge
,1983-05-07,Hamed Sohrabnejad,Iranian basketball player,basketball player,,Iran,Hamed
,1983-05-07 1974-04-07,Garry O'Connor,Scottish footballer,association football player,,United Kingdom,Garry
,1983-05-07,Shinobu Ito,Japanese association football player,association football player,,Japan,
,1983-05-07,Sissy Nobby,American bounce and hip hop artist,rapper,,United States of America,
,1983-05-07,Julio dos Santos,Paraguayan footballer,association football player,,Paraguay,Julio
,1983-05-07,David Tsorayev,Russian footballer,association football player,,Russia,David
,1983-05-07,Ade Suhendra,Indonesian footballer,association football player,,Indonesia,
,1983-05-07,Jasmer,Indian kabaddi player,Kabaddi player,,India,
,1983-05-07,Parveen Kumar,Indian kabaddi player,Kabaddi player,,India,
,1983-05-07,Kiatkamol Lata,Thai actor and singer,actor film actor television actor,,Thailand,
,1983-05-07,Bojana Janković,basketball player,basketball player,,Serbia,Bojana
,1983-05-07,Christina Yannetsos,American judoka,judoka,,United States of America,Christina
,1983-05-07,Lars Iver Strand,Norwegian footballer,association football player,,Norway,Lars
,1983-05-07,DJ Row,American disc jockey,disc jockey radio personality,,United States of America,
,1983-05-07,Dominique Dorsey,Player of American and Canadian football,American football player Canadian football player,,United States of America,Dominique
,1983-05-07,Brian Murphy,Irish association football player,association football player,,Ireland,Brian
,1983-05-07,Josip Glasnović,sport shooter,sport shooter,,Croatia,Josip
,1983-05-07,Line Hansen,Danish squash player,squash player,,Denmark,Line
,1983-05-07,Neil Saunders,footballer,association football player,,United Kingdom,Neil
,1983-05-07,Sofiane Djebarat,Algerian footballer,association football player,,Algeria,Sofiane
,1983-05-07,Ma Zengyu,Chinese basketball player,basketball player,,People's Republic of China,
,1983-05-07,Tseng Chia-min,Taiwanese baseball player,baseball player,,Taiwan,
,1983-05-07,Zhang Xueling,Singaporean table tennis player,table tennis player,,People's Republic of China,
,1983-05-07,Tomasz Pochwała,Polish Nordic combined skier,ski jumper,,Poland,Tomasz
,1982-05-07,Nikolai Fiyev,Russian footballer,association football player,,Russia,Nikolai
,1982-05-07,Chris Harrington,American ice hockey player,ice hockey player,,United States of America,Chris
,1982-05-07,José Saez,French footballer,association football player,,France,José
,1982-05-07,Filip Novák,Czech ice hockey player,ice hockey player association football player,,Czech Republic,Filip
,1982-05-07,Morgana Robinson,Comedienne,comedian stand-up comedian,,United Kingdom,Morgana
,1982-05-07,Matt Gaetz,American politician and member of the United States House of Representatives,politician lawyer,member of the Florida House of Representatives United States representative,United States of America,Matt
,1982-05-07,B.J. Britt,actor,actor television actor film actor,,United States of America,B.
,1982-05-07,Tom Martell,American Magic: The Gathering player,Magic: The Gathering player,,United States of America,Tom
,1982-05-07,Kristjan Fajt,Slovenian cyclist,sport cyclist,,Slovenia,Kristjan
,1982-05-07,Ewelina Kobryn,Polish basketball player,basketball player,,Poland,Ewelina
,1982-05-07,Loston,Australian music producer and graphic designer,record producer composer,,Australia,
,1982-05-07,Ákos Buzsáky,Hungarian football player,association football player,,Hungary,Ákos
,1982-05-07,Conor Jackson,American baseball player,baseball player,,United States of America,Conor
,1982-05-07,Leonardo Borzani,Footballer,association football player,,Argentina,Leonardo
,1982-05-07,Luis Antonio Jiménez,American baseball player,baseball player,,Venezuela,Luis
,1982-05-07,Maud Forget,French actress,actor,,France,Maud
,1982-05-07,Renaldo Major,American basketball player,basketball player,,United States of America,
,1982-05-07,Lea Müller,Swiss orienteer,orienteer,,Switzerland,Lea
,1982-05-07 1982-05-05,Jay Bothroyd,English association football player,association football player,,United Kingdom,Jay
,1982-05-07,Adrian Shankar,English cricketer,cricketer,,United Kingdom,Adrian
,1982-07-07 1982-05-07,Alex Carter,British actor,actor television actor,,United Kingdom,Alex
,1982-05-07,Ben Broster,Welsh rugby union player,rugby union player,,United Kingdom,Ben
,1982-05-07,Nam Song-chol,North Korean footballer,association football player,,North Korea,Sung-chul
,1982-05-07,Chris Foggo,Bermudian cricketer,cricketer,,,Chris
,1982-05-07,Claudinho,Brazilian footballer and manager,association football player,,Brazil,
,1982-05-07,Danang Jarwo Wihatmoko,Indonesian footballer,association football player,,Indonesia,
,1982-05-07,Dušan Vasiljević,Serbian football player,association football player,,Serbia,Dušan
,1982-05-07,Gustavo Veronesi,Brazilian footballer,association football player,,Brazil,Gustavo
,1982-05-07,Chumel Torres,Mexican Youtuber,comedian,,Mexico,
,1982-05-07,Jeremy Thornburg,American football player,American football player,,United States of America,Jeremy
,1982-05-07,John Wolstenholme,English cricketer,cricketer,,United Kingdom,John
,1982-05-07 1980-05-07,Juan Pablo Raponi,Argentine footballer,association football player,,Argentina,Juan Pablo
,1982-05-07,Melissa Jennison,Australian archer,archer,,Australia,Melissa
,1982-05-07,Pedro Dias,Portuguese judoka,judoka,,Portugal,Pedro
,1982-05-07,Qaiser Abbas,Pakistani cricketer,cricketer,,Pakistan,
,1982-05-07,Raymondt Pimienta,Dutch footballers,association football player,,Kingdom of the Netherlands,
,1982-05-07,Romel Currency,West Indian cricketer,cricketer,,,Romel
,1982-05-07,Sonia Leong,Freelance comic artist and illustrator,comics artist,,United Kingdom,Sonia
,1982-05-07,Vasili Fiyev,Russian footballer,association football player,,Russia,
,1982-05-07,Wu Penggen,Chinese beach volleyball player,volleyball player beach volleyball player,,People's Republic of China,
,1982-05-07,Yacine Kechout,Algerian footballer,association football player,,Algeria,Yacine
,1982-05-07,Angela Rinicella,Person (*1982) ♀,,,,Angela
,1981-05-07,Xiaoshenyang,Chinese actor,actor singer television actor,,People's Republic of China,
,1981-05-07,Tim Connolly,American ice hockey player,ice hockey player,,United States of America,Tim
,1981-05-07,Maciej Iwański,Polish footballer,association football player,,Poland,Maciej
,1981-05-07,Guillaume Lefebvre,Canadian ice hockey player,ice hockey player,,Canada,Guillaume
,1981-05-03,Hannah,Austrian singer,composer,,Austria,
,1981-05-07,Stephen Lowe,English cricketer,cricketer,,United Kingdom,Stephen
,1981-05-07,Marty Turner,New Zealand rugby league footballer,rugby league player,,New Zealand,Marty
,1981-05-07,Aliyah O'Brien,Canadian actress,actor film actor,,Canada,Aliyah
,1981-05-07,Monzavous Edwards,Nigerian sprinter of American descent,sprinter,,Nigeria United States of America,
,1981-05-07,Gijs Vermeulen,Dutch rower,rower,,Kingdom of the Netherlands,Gijsbert
,1981-05-07,Aniket Vishwasrao,Author & Independent Government of India Nominee,actor film actor television actor,,India,
,1981-05-07,Thomas Boerma,Dutch field hockey player,field hockey player,,Kingdom of the Netherlands,Thomas
,1981-05-07,Gustavo Porporatto,Argentinian volleyball player,volleyball player,,Argentina,Gustavo
,1981-05-07,Robert Stanjek,Olympic sailor,sailor,,Germany,Robert
,1981-05-07,Georgia Kokloni,Greek sprinter,sprinter,,Greece,Georgia
,1981-05-07,Yuki Fuji,Japanese association football player,association football player,,Japan,
,1981-05-07,Gevorg Harutjunyan,Armenian chess grandmaster,chess player,,Armenia,
,1981-05-07,Antti Jokela,Finnish ice hockey player,ice hockey player,,Finland,Antti
,1981-05-07,Dave Canales,American-football player (1981-),American football player,,,Dave
,1981-05-07,Vincent Clerc,French rugby union player,rugby union player,,France,Vincent
,1981-05-07,Arda Ocal,"Television personality, announcer, and writer",wrestler,,Canada,Arda
,1981-05-07,Azrine Effendy Sa'duddin,Malaysian footballer,association football player,,Malaysia,
,1981-05-07,Babak Pourgholami,Iranian footballer,association football player,,Iran,Babak
,1981-05-07,César Garipe,Argentine footballer,association football player,,Argentina,César
,1981-05-07,David Ostlund,American strength athlete,powerlifter,,United States of America,David
,1981-05-07,Georgia Bruce,Australian equestrian,equestrian,,Australia,Georgia
,1981-05-07,Guy Johnston,British musician,music pedagogue,,United Kingdom,Guy
,1981-05-07,Gwen Garci,actress,model actor,,Philippines,Gwen
,1981-05-08 1981-05-07,Jorge Carranza,Argentine footballer,association football player,,Argentina,Jorge
,1981 1981-05-07,James T. Williams II,American actor,actor,,United States of America,James
,1981-05-07,Jamie Hagerman,ice hockey player,ice hockey player,,United States of America,Jamie
,1981-05-07,Jamie Wade,English cricketer,cricketer,,United Kingdom,Jamie
,1981-05-07,Jonathan Mathis,French rower,rower,,France,Jonathan
,1981-05-07,Scott Kelman,Canadian ice hockey player,ice hockey player,,Canada,Scott
,1981-05-07,Lincoln Withers,Australian rugby league footballer,rugby league player,,Australia,Lincoln
,1981-05-07 1981-11-23,Wésley Brasilia,Brazilian footballer,association football player,,Brazil,
,1981-05-07,Prince Moulay Ismail of Morocco,Grandson of Mohammed V of Morocco,businessperson,,Morocco,Ismail
,1981-05-07,Steffan Sondermark Fallesen,Danish businessman,businessperson,,Denmark,Steffan
,1981-05-07,Yazmany Arboleda,Colombian American multi-media artist,installation artist,,,
,1981-05-07,Keith McGee,Racing driver (*1981) ♂,racing driver,,,
,1981-05-07,Lorena Guréndez,gymnast,rhythmic gymnast,,Spain,Lorena
,1981-05-07,Fouad Bouguerra,Algerian association football player,association football player association football manager,,France,Fouad
,1980-05-07,Maciej Zakościelny,Polish actor,actor film actor television actor,,Poland,Maciej
,1980-05-07,Johan Kenkhuis,Dutch swimmer,swimmer,,Kingdom of the Netherlands,Johan
,1980-05-07,Jakob Dirnberger,Austrian squash player,squash player,,Austria,Jakob
,1980-05-07,Josh Kroenke,"American heir, businessman",businessperson,director,United States of America,Josh
,1980-05-07,Jane Shin,Canadian politician,politician,,Canada,Jane
,1980-05-07,Shaun Ollison,Person (*1980) ♀,,,,Shaun
,1980-05-07,Lela Loren,American actress,actor television actor,,United States of America,Lauren
,1980-05-07,Łukasz Parobiec,Polish mixed martial arts fighter,kickboxer,,Poles,Łukasz
,1980-05-07,Faith Winter,American legislator,politician,member of the Colorado House of Representatives,,
,1980-05-07,Yonas Kinde,Ethiopian male long-distance runner,long-distance runner marathon runner,,Ethiopia,Yonas
,1980-05-07,Nina Klenovska,Bulgarian biathlete,biathlete police officer,,Bulgaria,Nina
,1980-05-07,Kim Nam-Soon,South Korean archer,archer,,South Korea,Nam-sun
,1980-05-07,Jeremy Staunton,Irish rugby union player,rugby union player,,Ireland,Jeremy
,1980-05-07,Adrian Crișan,table tennis player,table tennis player,,Romania,Adrian
,1980-05-07,Vincent Kamphuis,Dutch darts player,darts player,,Kingdom of the Netherlands,Vincent
,1980-05-07,Saeed Abedini,Christian pastor,civil servant,,Iran,Saeed
,1980-05-08 1980-05-07,Alexander Campos,Salvadoran footballer,association football player,,El Salvador,Alexander
,1980-05-07,Aliyudin Ali,Indonesian footballer,association football player,,Indonesia,
,1980-05-07,Iram Hassan Bajwa,politician,politician,,,
,1980-05-07,Yianna Terzi,Greek singer,singer,,Greece,Gianna
,1980-05-07,Brian Mann,American football player,American football player,,United States of America,Brian
,1980-05-07,Kristee Porter,Person (*1980) ♀,,,,
,1980-05-07,Carlos Domingomes,Portuguese film director and photographer,photographer film director,,Portugal,Carlos
,1980-05-07,Rowena Bright,Australian alpine skier,athlete,,Australia,Rowena
,1980-07-05 1980-05-07,Enrique Llanos,sprinter,athletics competitor,,Puerto Rico,Enrique
,1980-05-07,Hamad Al Harbi,Kuwaiti footballer,association football player,,Kuwait,
,1980-05-07,Jeetan Patel,New Zealand cricketer,cricketer,,New Zealand,
,1980-05-07,Moonika Siimets,Estonian film director,film director,,Estonia,
,1980-05-07,Kate Lawler,British television personality,model television presenter,,United Kingdom,Kate
,1980-05-07,Kei Igarashi,Japanese basketball player,basketball player,,Japan,Kei
,1980-05-07,Lawrie Dudfield,English footballer,association football player association football manager,,United Kingdom,
,1980-05-07,Michael Letzig,professional golfer,golfer,,United States of America,Michael
,1980-05-07,Noriaki Sanenobu,Japanese association football player,association football player,,Japan,Noriaki
,1980-05-07,Simon Phillips,British actor and film producer,actor film producer television actor,,United Kingdom,Simon
,1980-05-07,Bolanle Ninalowo,Nigerian-born actor,actor,,,
,1979-05-07,Patrícia Dejesus,Brazilian model,actor model television presenter,,Brazil,Patrícia
,1979-05-07,Yōsuke Kubozuka,Japanese actor,actor singer model television actor,,Japan,Yōsuke
,1979-05-07,Béla Maróti,football player,association football player,,Hungary,Béla
,1979-05-07,Katie Douglas,American basketball player,basketball player,,United States of America Greece,Kathryn Elizabeth
,1979-05-07,Matsuji Nakaizumi,Japanese politician,politician,member of the House of Councillors,Japan,
,1979-05-07,Jack Samani,Solomon Islands footballer,association football player,,Solomon Islands,Jack
,1979-05-07,Fabien Engelmann,French politician,politician magistrate,Mayor of Hayange conseiller régional du Grand Est Q65489106 Q66499656,France,Fabien
,1979-05-07,Kurt Pellegrino,Mixed martial arts fighter,mixed martial artist,,United States of America,Kurt
,1979-05-07,Mukhthar Naseer,Maldivian footballer,association football player,,Maldives,
,1979-05-07,Henrik Bjørnstad,professional golfer,golfer,,Norway,Henrik
,1979-05-07,See Siang Wong,Chinese musician,musician pianist,,People's Republic of China,
,1979-05-07,Branko Peković,water polo player,water polo player,,Serbia Kazakhstan,Branko
,1979-05-07,Mike Wilks,American basketball player,basketball player,,United States of America,Mike
,1979-05-07,Peter Petráš,Slovak soccer player,association football player,,Slovakia,Peter
,1979-05-07,Ed Fairhurst,Canadian rugby union player,rugby union player,,Canada,Ed
,1979-05-07,Gareth Cooper,Welsh rugby union player (b.1979),rugby union player,,United Kingdom,Gareth
,1979-05-07,Dmitry Demushkin,Russian politician,politician,,Russia,Dmitri
,1979-05-07,Ruslan Kokshin,Russian Army officer,military personnel,,Russia,Ruslan
,1979-05-07,Mykola Pavlenko,Ukrainian footballer,association football player,,Ukraine,Mykola
,1979-05-07,Lawrence Nycholat,Canadian ice hockey player,ice hockey player,,Canada,Lawrence
,1979-05-07,Nathalie Nordquist,Swedish ballet dancer,ballet dancer,,Sweden,Nathalie
,1979-05-07,Dan Demole,American businessman,entrepreneur,chief operating officer,United States of America,Dan
,1979-05-07,Dmitry Krasilnikov,Russian footballer,association football player,,Russia,Dmitri
,1979-05-07,Dzyanis Karolik,Belarusian footballer,association football player,,Belarus,Dzyanis
,1979-05-07,Fajer Al-Kaisi,actor and comedian,actor,,,
,1979-05-07,Faruhad Ismail,footballer,association football player,,Maldives,
,1979-05-07,Fontaine,American musician,singer singer-songwriter composer,,United States of America,
,1979-05-07,Frenchie Davis,American actress and singer,singer actor film actor stage actor,,United States of America,Frenchie
,1979-05-07,Gregory Lancken,Venezuelan footballer,association football player association football manager,,Venezuela,Gregory
,1979-05-07,Mohammad Jahangir Alam,Bangladeshi politician and Mayor of Gazipur City Corporation,business businessperson politician,mayor Gazipur City Corporation,Bangladesh,
,1979-05-07,James Clarke,English cricketer,cricketer,,United Kingdom,James
,1979-05-07,Jamie Stauffer,Australian motorcycle racer,motorcycle racer,,Australia,Jamie
,1979-05-07,Jeff Halevy,American fitness competitor,writer,,United States of America,Jeff
